"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.02495 0.9248 0.9230 0.8186
0.02505 0.9260 0.9260 0.8192
0.02515 0.9188 0.9170 0.8204
0.02524 0.9212 0.9194 0.8186
0.02534 0.8600 0.8588 0.8318
0.02544 0.9092 0.9104 0.8006
0.02554 0.9140 0.9128 0.8114
0.02564 0.9104 0.9116 0.8120
0.02574 0.9140 0.9134 0.8222
0.02584 0.9146 0.9146 0.8222
0.02594 0.9170 0.9170 0.8282
0.02604 0.9152 0.9170 0.8222
0.02614 0.9170 0.9170 0.8204
0.02624 0.9182 0.9176 0.8102
0.02634 0.9134 0.9140 0.8336
0.02644 0.9206 0.9206 0.8168
0.02654 0.9182 0.9188 0.8258
0.02664 0.9206 0.9218 0.8300
0.02674 0.9164 0.9170 0.8438
0.02683 0.9218 0.9224 0.8354
0.02693 0.9296 0.9284 0.8276
0.02703 0.9194 0.9194 0.8096
0.02713 0.9224 0.9212 0.8216
0.02723 0.9284 0.9284 0.8336
0.02733 0.9278 0.9278 0.8222
0.02743 0.9290 0.9284 0.8138
0.02753 0.9194 0.9194 0.8144
0.02763 0.9026 0.8990 0.8072
0.02773 0.9074 0.9050 0.8048
0.02783 0.9104 0.9080 0.8150
0.02793 0.9236 0.9224 0.8222
0.02803 0.9296 0.9272 0.9098
0.02813 0.9128 0.9134 0.8192
0.02823 0.9152 0.9170 0.8318
0.02833 0.9206 0.9212 0.8228
0.02843 0.9200 0.9212 0.8240
0.02852 0.9266 0.9248 0.8096
0.02862 0.9278 0.9284 0.8150
0.02872 0.9308 0.9314 0.8108
0.02882 0.8966 0.8948 0.7898
0.02892 0.9068 0.9068 0.8066
0.02902 0.9140 0.9128 0.8150
0.02912 0.9152 0.9146 0.8132
0.02922 0.9170 0.9182 0.8378
0.02932 0.9194 0.9188 0.8168
0.02942 0.9230 0.9206 0.8114
0.02952 0.9284 0.9284 0.8252
0.02962 0.9308 0.9308 0.8294
0.02972 0.8402 0.8402 0.7808
0.02982 0.8924 0.8930 0.8126
0.02992 0.9014 0.9014 0.8150
0.03002 0.8972 0.8966 0.8186
0.03011 0.9062 0.9074 0.8402
0.03021 0.9110 0.9110 0.8294
0.03031 0.9056 0.9062 0.8780
0.03041 0.9110 0.9110 0.8318
0.03051 0.9110 0.9098 0.8186
0.03061 0.9098 0.9104 0.8288
0.03071 0.9104 0.9098 0.8222
0.03081 0.9098 0.9110 0.8264
0.03091 0.9140 0.9146 0.8204
0.03101 0.9128 0.9122 0.8234
0.03111 0.9194 0.9200 0.8156
0.03121 0.9170 0.9170 0.8096
0.03131 0.9182 0.9182 0.8060
0.03141 0.9295 0.9283 0.8204
0.03151 0.9224 0.9218 0.8168
0.03161 0.9182 0.9170 0.8060
0.03171 0.9193 0.9193 0.8336
0.03180 0.9206 0.9206 0.8192
0.03190 0.9175 0.9181 0.8156
0.03200 0.9254 0.9260 0.8372
0.03210 0.9181 0.9181 0.8372
0.03220 0.9242 0.9248 0.8408
0.03230 0.9301 0.9313 0.8282
0.03240 0.9284 0.9254 0.8282
0.03250 0.9319 0.9307 0.8252
0.03260 0.9236 0.9200 0.8204
0.03270 0.9061 0.9079 0.8174
0.03280 0.9116 0.9134 0.8234
