"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02803 0.9361 0.9361
0.02813 0.9361 0.9361
0.02823 0.9373 0.9373
0.02833 0.9385 0.9385
0.02843 0.9379 0.9379
0.02852 0.9391 0.9391
0.02862 0.9391 0.9391
0.02872 0.9403 0.9403
0.02882 0.9397 0.9397
0.02892 0.9409 0.9409
0.02902 0.9421 0.9421
0.02912 0.9350 0.9350
0.02922 0.9098 0.9098
0.02932 0.9194 0.9194
0.02942 0.9278 0.9278
0.02952 0.9314 0.9314
0.02962 0.9278 0.9278
0.02972 0.8960 0.8960
0.02982 0.9062 0.9062
0.02992 0.9182 0.9182
0.03002 0.9260 0.9260
0.03011 0.9284 0.9284
0.03021 0.9302 0.9302
0.03031 0.9314 0.9314
0.03041 0.9308 0.9308
0.03051 0.9326 0.9326
0.03061 0.9320 0.9320
0.03071 0.9338 0.9338
0.03081 0.9344 0.9344
0.03091 0.9350 0.9350
0.03101 0.9338 0.9338
0.03111 0.9409 0.9409
0.03121 0.9445 0.9445
0.03131 0.9493 0.9493
0.03141 0.9109 0.9109
0.03151 0.8990 0.8990
0.03161 0.9032 0.9032
0.03171 0.9163 0.9163
0.03180 0.9200 0.9200
0.03190 0.9241 0.9241
0.03200 0.9248 0.9248
0.03210 0.9253 0.9253
0.03220 0.9278 0.9278
0.03230 0.9295 0.9295
0.03240 0.9320 0.9320
0.03250 0.9343 0.9343
0.03260 0.9326 0.9326
0.03270 0.9355 0.9355
0.03280 0.9338 0.9338
0.03290 0.9361 0.9361
0.03300 0.9368 0.9368
0.03310 0.9380 0.9380
0.03320 0.9385 0.9385
0.03330 0.9392 0.9392
0.03339 0.9409 0.9409
0.03349 0.9410 0.9410
0.03359 0.9427 0.9427
0.03369 0.9434 0.9434
0.03379 0.9451 0.9451
0.03389 0.9476 0.9476
0.03399 0.9487 0.9487
0.03409 0.9500 0.9500
0.03419 0.9505 0.9505
0.03429 0.9482 0.9482
0.03439 0.9583 0.9583
0.03449 0.9074 0.9074
0.03459 0.9146 0.9146
0.03469 0.9229 0.9229
0.03479 0.9152 0.9152
0.03489 0.9175 0.9175
0.03498 0.8690 0.8690
0.03508 0.8702 0.8702
0.03518 0.8216 0.8216
0.03528 0.9253 0.9253
0.03538 0.8738 0.8738
0.03548 0.8252 0.8252
0.03558 0.9266 0.9266
0.03568 0.8780 0.8780
0.03578 0.8768 0.8768
