"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05347 0.9739 0.9716
0.05357 0.9739 0.9733
0.05367 0.9781 0.9739
0.05377 0.9775 0.9745
0.05387 0.9787 0.9751
0.05397 0.9865 0.9823
0.05407 0.9374 0.9332
0.05417 0.8822 0.8810
0.05427 0.8846 0.8834
0.05437 0.8834 0.8840
0.05447 0.8852 0.8840
0.05456 0.8888 0.8858
0.05466 0.8882 0.8888
0.05476 0.8912 0.8894
0.05486 0.8936 0.8918
0.05496 0.8924 0.8912
0.05506 0.8924 0.8924
0.05516 0.9020 0.8990
0.05526 0.9067 0.9043
0.05536 0.9194 0.9182
0.05546 0.9217 0.9229
0.05556 0.9212 0.9242
0.05566 0.9254 0.9254
0.05576 0.9187 0.9253
0.05586 0.9206 0.9272
0.05596 0.9271 0.9301
0.05606 0.9296 0.9308
0.05615 0.9301 0.9367
0.05625 0.9332 0.9338
0.05635 0.9403 0.9421
0.05645 0.9488 0.9446
0.05655 0.9457 0.9451
0.05665 0.9452 0.9470
0.05675 0.9457 0.9487
0.05685 0.9476 0.9500
0.05695 0.9493 0.9511
0.05705 0.9476 0.9530
0.05715 0.9482 0.9518
0.05725 0.9505 0.9541
0.05735 0.9530 0.9536
0.05745 0.9523 0.9553
0.05755 0.9512 0.9536
0.05765 0.9565 0.9571
0.05774 0.9560 0.9584
0.05784 0.9589 0.9589
0.05794 0.9596 0.9608
0.05804 0.9589 0.9625
0.05814 0.9638 0.9626
0.05824 0.9673 0.9667
0.05834 0.9500 0.9536
0.05844 0.9769 0.9799
0.05854 0.9560 0.9584
0.05864 0.9458 0.9482
0.05874 0.9475 0.9487
0.05884 0.9470 0.9464
0.05894 0.9451 0.9493
0.05904 0.9482 0.9506
0.05914 0.9457 0.9511
0.05924 0.9470 0.9518
0.05934 0.9535 0.9559
0.05943 0.9680 0.9656
0.05953 0.9619 0.9667
0.05963 0.9680 0.9710
0.05973 0.9709 0.9727
0.05983 0.9769 0.9787
0.05993 0.9787 0.9811
0.06003 0.9722 0.9739
0.06013 0.9128 0.9140
0.06023 0.9133 0.9151
0.06033 0.9158 0.9158
0.06043 0.9193 0.9199
0.06053 0.9458 0.9446
0.06063 0.9631 0.9655
0.06073 0.9728 0.9728
0.06083 0.9709 0.9679
0.06093 0.9913 0.9877
0.06102 0.9739 0.9697
0.06112 0.9817 0.9781
0.06122 0.9739 0.9733
0.06132 0.8348 0.8408
0.06142 0.8294 0.8324
0.06152 0.8768 0.8696
0.06162 0.8762 0.8696
0.06172 0.8732 0.8696
0.06182 0.8768 0.8708
0.06192 0.8774 0.8696
0.06202 0.8774 0.8708
0.06212 0.8786 0.8726
0.06222 0.8786 0.8708
0.06232 0.8816 0.8726
0.06242 0.8774 0.8732
0.06252 0.8768 0.8732
0.06261 0.8780 0.8738
0.06271 0.8762 0.8732
0.06281 0.8810 0.8750
0.06291 0.8786 0.8738
0.06301 0.8786 0.8762
0.06311 0.8768 0.8738
0.06321 0.8810 0.8768
0.06331 0.8804 0.8762
0.06341 0.8792 0.8756
0.06351 0.8822 0.8768
0.06361 0.8804 0.8768
0.06371 0.8810 0.8762
0.06381 0.8810 0.8768
0.06391 0.8834 0.8786
0.06401 0.8822 0.8762
0.06411 0.8780 0.8780
0.06421 0.8834 0.8774
0.06430 0.8792 0.8774
0.06440 0.8822 0.8774
0.06450 0.8786 0.8786
0.06460 0.8798 0.8774
0.06470 0.8810 0.8786
0.06480 0.8798 0.8774
0.06490 0.8792 0.8786
0.06500 0.8792 0.8786
0.06510 0.9470 0.9482
0.06520 0.9481 0.9505
0.06530 0.9463 0.9469
0.06540 0.8834 0.8792
0.06550 0.8810 0.8792
0.06560 0.8798 0.8786
0.06570 0.8798 0.8792
0.06580 0.8816 0.8786
0.06589 0.8828 0.8786
0.06599 0.8798 0.8792
0.06609 0.8792 0.8792
0.06619 0.8822 0.8798
0.06629 0.8804 0.8792
0.06639 0.8816 0.8798
0.06649 0.8816 0.8798
0.06659 0.8834 0.8804
0.06669 0.8822 0.8798
0.06679 0.8840 0.8804
0.06689 0.8828 0.8810
0.06699 0.8804 0.8798
0.06709 0.8852 0.8810
0.06719 0.8858 0.8810
0.06729 0.8840 0.8804
0.06739 0.8816 0.8816
0.06748 0.8846 0.8816
0.06758 0.8864 0.8816
0.06768 0.8834 0.8822
0.06778 0.8840 0.8816
0.06788 0.8846 0.8822
0.06798 0.8840 0.8828
0.06808 0.8840 0.8828
0.06818 0.8834 0.8822
0.06828 0.8864 0.8834
0.06838 0.8864 0.8828
0.06848 0.8870 0.8834
0.06858 0.8828 0.8852
0.06868 0.8840 0.8828
0.06878 0.8840 0.8852
0.06888 0.8870 0.8846
0.06898 0.8858 0.8846
0.06908 0.8858 0.8858
0.06917 0.8900 0.8852
0.06927 0.8828 0.8846
0.06937 0.8852 0.8864
0.06947 0.8924 0.8870
0.06957 0.8894 0.8852
0.06967 0.8864 0.8870
0.06977 0.8858 0.8864
0.06987 0.8870 0.8864
0.06997 0.8888 0.8882
0.07007 0.8852 0.8870
0.07017 0.8912 0.8882
0.07027 0.8924 0.8876
0.07037 0.8894 0.8876
0.07047 0.8894 0.8876
0.07057 0.8900 0.8894
0.07067 0.8906 0.8888
0.07076 0.8918 0.8888
0.07086 0.8882 0.8894
0.07096 0.8876 0.8888
0.07106 0.8924 0.8900
0.07116 0.8894 0.8900
0.07126 0.8894 0.8906
0.07136 0.8918 0.8900
0.07146 0.8894 0.8918
0.07156 0.8954 0.8906
0.07166 0.8894 0.8918
0.07176 0.8912 0.8924
0.07186 0.8972 0.8912
0.07196 0.8924 0.8930
0.07206 0.8972 0.8918
0.07216 0.8894 0.8924
0.07226 0.8924 0.8930
0.07236 0.8942 0.8936
0.07245 0.8924 0.8936
0.07255 0.8954 0.8930
0.07265 0.8966 0.8930
0.07275 0.8960 0.8948
0.07285 0.8936 0.8936
0.07295 0.9044 0.8948
0.07305 0.8954 0.8936
0.07315 0.8984 0.8948
0.07325 0.9019 0.8948
0.07335 0.9050 0.8954
0.07345 0.8948 0.8954
0.07355 0.8966 0.8942
0.07365 0.9008 0.8972
0.07375 0.9067 0.8966
0.07385 0.9109 0.8954
0.07395 0.9049 0.8954
0.07404 0.9038 0.8960
0.07414 0.9073 0.8966
0.07424 0.9013 0.8972
0.07434 0.9025 0.8960
0.07444 0.9032 0.8966
0.07454 0.9037 0.8972
0.07464 0.8984 0.8960
0.07474 0.9115 0.8978
0.07484 0.9068 0.8972
0.07494 0.9049 0.8960
0.07504 0.9043 0.8978
