"BasinName","ClassName","Month","AvgWater"
"Tulare","Seasonal Wetland","Oct",0.254475803051915
"Tulare","Seasonal Wetland","Nov",0.452751741641372
"Tulare","Seasonal Wetland","Dec",0.522663117328777
"Tulare","Semi-permanent Wetland","Jan",0.702809298812666
"Tulare","Semi-permanent Wetland","Feb",0.75625477552773
"Tulare","Semi-permanent Wetland","Mar",0.705192519722292
"Tulare","Semi-permanent Wetland","Apr",0.667463149240381
"Tulare","Semi-permanent Wetland","May",0.775747902197946
"Tulare","Semi-permanent Wetland","Jun",0.810449238487545
"Tulare","Semi-permanent Wetland","Jul",0.789256344114006
"Tulare","Semi-permanent Wetland","Aug",0.755307903715114
"Tulare","Semi-permanent Wetland","Sep",0.668122938105558
"Tulare","Semi-permanent Wetland","Oct",0.609305718996971
"Tulare","Semi-permanent Wetland","Nov",0.605560070402974
"Tulare","Semi-permanent Wetland","Dec",0.61436074373588
"Yolo","Seasonal Wetland","Jan",0.70101913564414
"Yolo","Seasonal Wetland","Feb",0.75213590606212
"Yolo","Seasonal Wetland","Mar",0.636017599474961
"Yolo","Seasonal Wetland","Apr",0.37681504228763
"Yolo","Seasonal Wetland","May",0.231092885060687
"Yolo","Seasonal Wetland","Jun",0.0582660331594797
"Yolo","Seasonal Wetland","Jul",0.0358092532048214
"Yolo","Seasonal Wetland","Aug",0.0242050629474595
"Yolo","Seasonal Wetland","Sep",0.0622614394446084
"Yolo","Seasonal Wetland","Oct",0.290963903276698
"Yolo","Seasonal Wetland","Nov",0.508748250217453
"Yolo","Seasonal Wetland","Dec",0.565313010975106
"Yolo","Semi-permanent Wetland","Jan",0.757541146254904
"Yolo","Semi-permanent Wetland","Feb",0.754659321170644
"Yolo","Semi-permanent Wetland","Mar",0.734046961335263
"Yolo","Semi-permanent Wetland","Apr",0.664224974683096
"Yolo","Semi-permanent Wetland","May",0.583007918194783
"Yolo","Semi-permanent Wetland","Jun",0.504474077083607
"Yolo","Semi-permanent Wetland","Jul",0.476162370887607
"Yolo","Semi-permanent Wetland","Aug",0.415521051604281
"Yolo","Semi-permanent Wetland","Sep",0.422683934675883
"Yolo","Semi-permanent Wetland","Oct",0.438594294769809
"Yolo","Semi-permanent Wetland","Nov",0.541055968001672
"Yolo","Semi-permanent Wetland","Dec",0.61614870447058
