"DataSource","Name","BasinName","ClassName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Ducks Unlimited","Colusa Seasonal Wetland","Colusa","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Semi-permanent Wetland","Colusa","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Treated Wetland","Colusa","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Rice","Delta","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",7189200,237600,46.1387396753884,3.30495743615423,514968.552829244,0.07897201
"Ducks Unlimited","Delta Seasonal Wetland","Delta","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",4103100,799200,12.4726417159116,19.4779556920377,6407624.12809827,0.07897201
"Ducks Unlimited","Delta Semi-permanent Wetland","Delta","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",2325600,2057400,24.7889485801995,88.4674922600619,8299666.25386997,0.07897201
"Ducks Unlimited","Delta Treated Wetland","Delta","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",1973700,1352700,77.1368272951108,68.5362517099863,1753637.07250342,0.07897201
"Ducks Unlimited","San Joaquin Seasonal Wetland","San Joaquin","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",222447600,14730750,100,6.62212134453237,14730750,0.07897201
"Ducks Unlimited","San Joaquin Semi-permanent Wetland","San Joaquin","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",10140300,6181200,100,60.9567764267329,6181200,0.07897201
"Ducks Unlimited","San Joaquin Treated Wetland","San Joaquin","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",7209900,6679800,100,92.6476095368868,6679800,0.07897201
"Ducks Unlimited","Suisun Seasonal Wetland","Suisun","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Suisun Semi-permanent Wetland","Suisun","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Rice","Sutter","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Seasonal Wetland","Sutter","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Semi-permanent Wetland","Sutter","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Tulare Seasonal Wetland","Tulare","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",58104900,6248250,100,10.7533960130729,6248250,0.07897201
"Ducks Unlimited","Tulare Semi-permanent Wetland","Tulare","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",18285300,15020550,100,82.1454939213467,15020550,0.07897201
"Ducks Unlimited","Tulare Treated Wetland","Tulare","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",6919200,3464100,100,50.0650364203954,3464100,0.07897201
"Ducks Unlimited","Yolo Rice","Yolo","Rice","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Seasonal Wetland","Yolo","Seasonal Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Semi-permanent Wetland","Yolo","Semi-permanent Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Treated Wetland","Yolo","Treated Wetland","L8_valley_20130425to20130503_water.tif","2013-04-25","2013-05-03",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Rice","American","Rice","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Seasonal Wetland","American","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Semi-permanent Wetland","American","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Rice","Butte","Rice","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Seasonal Wetland","Butte","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Semi-permanent Wetland","Butte","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Treated Wetland","Butte","Treated Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Rice","Colusa","Rice","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Seasonal Wetland","Colusa","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Semi-permanent Wetland","Colusa","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Treated Wetland","Colusa","Treated Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Rice","Delta","Rice","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",11956500,934200,76.7342459423554,7.81332329695145,1217448.59616108,0.07897201
"Ducks Unlimited","Delta Seasonal Wetland","Delta","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",11163600,1107900,33.9352155832786,9.92421799419542,3264750.14511448,0.07897201
