"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.03121 0.9547 0.9547
0.03131 0.9577 0.9577
0.03141 0.9601 0.9601
0.03151 0.9644 0.9644
0.03161 0.9686 0.9686
0.03171 0.9697 0.9697
0.03180 0.9716 0.9716
0.03190 0.9745 0.9745
0.03200 0.9769 0.9769
0.03210 0.7532 0.7532
0.03220 0.6819 0.6819
0.03230 0.6867 0.6867
0.03240 0.6885 0.6885
0.03250 0.6951 0.6951
0.03260 0.7089 0.7089
0.03270 0.7850 0.7850
0.03280 0.8102 0.8102
0.03290 0.8210 0.8210
0.03300 0.8258 0.8258
0.03310 0.8354 0.8354
0.03320 0.8714 0.8714
0.03330 0.9038 0.9038
0.03339 0.9523 0.9523
0.03349 0.9548 0.9548
0.03359 0.9571 0.9571
0.03369 0.9596 0.9596
0.03379 0.9595 0.9595
0.03389 0.9644 0.9644
0.03399 0.9637 0.9637
0.03409 0.9632 0.9632
0.03419 0.9691 0.9691
0.03429 0.9716 0.9716
0.03439 0.9691 0.9691
0.03449 0.9751 0.9751
0.03459 0.9757 0.9757
0.03469 0.9787 0.9787
0.03479 0.9272 0.9272
0.03489 0.8942 0.8942
0.03498 0.9008 0.9008
0.03508 0.9055 0.9055
0.03518 0.9110 0.9110
0.03528 0.9121 0.9121
0.03538 0.9188 0.9188
0.03548 0.9217 0.9217
0.03558 0.8990 0.8990
0.03568 0.8864 0.8864
0.03578 0.9134 0.9134
0.03588 0.9523 0.9523
0.03598 0.9692 0.9692
0.03608 0.9476 0.9476
0.03618 0.9661 0.9661
0.03628 0.9284 0.9284
0.03638 0.9079 0.9079
0.03648 0.9140 0.9140
0.03658 0.9121 0.9121
0.03667 0.9152 0.9152
0.03677 0.9169 0.9169
0.03687 0.9182 0.9182
0.03697 0.9193 0.9193
0.03707 0.9224 0.9224
0.03717 0.9271 0.9271
0.03727 0.9320 0.9320
0.03737 0.9331 0.9331
0.03747 0.9380 0.9380
0.03757 0.9416 0.9416
0.03767 0.9445 0.9445
0.03777 0.9494 0.9494
0.03787 0.9499 0.9499
0.03797 0.9548 0.9548
0.03807 0.9553 0.9553
0.03817 0.9566 0.9566
0.03826 0.9583 0.9583
0.03836 0.9596 0.9596
0.03846 0.9601 0.9601
0.03856 0.9632 0.9632
0.03866 0.9655 0.9655
0.03876 0.9680 0.9680
0.03886 0.9673 0.9673
0.03896 0.9710 0.9710
0.03906 0.9710 0.9710
0.03916 0.9733 0.9733
0.03926 0.9745 0.9745
0.03936 0.9751 0.9751
0.03946 0.9763 0.9763
0.03956 0.9763 0.9763
0.03966 0.9817 0.9817
0.03976 0.9595 0.9595
0.03985 0.9835 0.9835
0.03995 0.9805 0.9805
0.04005 0.9847 0.9847
0.04015 0.8288 0.8288
0.04025 0.6801 0.6801
0.04035 0.6849 0.6849
0.04045 0.6927 0.6927
0.04055 0.7107 0.7107
0.04065 0.7784 0.7784
0.04075 0.8066 0.8066
0.04085 0.8222 0.8222
0.04095 0.8504 0.8504
0.04105 0.8762 0.8762
0.04115 0.9290 0.9290
0.04125 0.9619 0.9619
0.04135 0.8912 0.8912
0.04145 0.9013 0.9013
0.04154 0.9062 0.9062
0.04164 0.9115 0.9115
0.04174 0.9332 0.9332
0.04184 0.9457 0.9457
0.04194 0.9356 0.9356
0.04204 0.9518 0.9518
0.04214 0.9433 0.9433
0.04224 0.9434 0.9434
0.04234 0.9559 0.9559
