"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.03310 0.7437 0.7437 0.8582
0.03320 0.7592 0.7592 0.8576
0.03330 0.7688 0.7688 0.8684
0.03339 0.7808 0.7808 0.8678
0.03349 0.7712 0.7712 1.0915
0.03359 0.7658 0.7658 1.1778
0.03369 0.7742 0.7742 1.1970
0.03379 0.8144 0.8144 1.1544
0.03389 0.6705 0.6705 1.3338
0.03399 0.6795 0.6795 1.3247
0.03409 0.6855 0.6855 1.3086
0.03419 0.6897 0.6897 1.3247
0.03429 0.6981 0.6981 1.3518
0.03439 0.7094 0.7094 1.3349
0.03449 0.7245 0.7245 1.1395
0.03459 0.7335 0.7335 1.1497
0.03469 0.7364 0.7364 1.0741
0.03479 0.7389 0.7389 1.0933
0.03489 0.7412 0.7412 1.1076
0.03498 0.7425 0.7425 1.1449
0.03508 0.7460 0.7460 0.9691
0.03518 0.7485 0.7485 0.9488
0.03528 0.7502 0.7502 1.0327
0.03538 0.7509 0.7509 0.8924
0.03548 0.7514 0.7514 1.0405
0.03558 0.7521 0.7521 0.9668
0.03568 0.7538 0.7538 1.0033
0.03578 0.7551 0.7551 0.9793
0.03588 0.7544 0.7544 0.9523
0.03598 0.7580 0.7580 1.0045
0.03608 0.7598 0.7598 0.9853
0.03618 0.7610 0.7610 1.1316
0.03628 0.7616 0.7616 0.9745
0.03638 0.7634 0.7634 0.9799
0.03648 0.7658 0.7658 0.9716
0.03658 0.7676 0.7676 1.0363
0.03667 0.7688 0.7688 0.9038
0.03677 0.7700 0.7700 0.8960
0.03687 0.7730 0.7730 1.0189
0.03697 0.7724 0.7724 1.0423
0.03707 0.7766 0.7766 1.1437
0.03717 0.7820 0.7820 1.0681
0.03727 0.7856 0.7856 1.0561
0.03737 0.7886 0.7886 1.0585
0.03747 0.7898 0.7898 1.0675
0.03757 0.7928 0.7928 1.0543
0.03767 0.7928 0.7928 1.0537
0.03777 0.7952 0.7952 1.0537
0.03787 0.7970 0.7970 1.0513
0.03797 0.7988 0.7988 1.0513
0.03807 0.8006 0.8006 1.0309
0.03817 0.8000 0.8000 1.0537
0.03826 0.8030 0.8030 1.0825
0.03836 0.8084 0.8084 1.0651
0.03846 0.8156 0.8156 1.0063
0.03856 0.7515 0.7515 0.8240
0.03866 0.7580 0.7580 0.8540
0.03876 0.7335 0.7335 0.8696
0.03886 0.7370 0.7370 0.8654
0.03896 0.7401 0.7401 0.8660
0.03906 0.7443 0.7443 0.8696
0.03916 0.7586 0.7586 0.8540
0.03926 0.7652 0.7652 0.8666
0.03936 0.7694 0.7694 0.8546
0.03946 0.7628 0.7628 1.0867
0.03956 0.7646 0.7646 1.2204
0.03966 0.7700 0.7700 1.2156
0.03976 0.7904 0.7904 1.1472
0.03985 0.8096 0.8096 1.0813
0.03995 0.8312 0.8312 1.1118
0.04005 0.7670 0.7670 1.1922
0.04015 0.6933 0.6933 1.3313
0.04025 0.7059 0.7059 1.2270
0.04035 0.7148 0.7148 1.3655
0.04045 0.7197 0.7197 1.3488
0.04055 0.7305 0.7305 1.1503
0.04065 0.7364 0.7364 1.1424
0.04075 0.7371 0.7371 1.1365
0.04085 0.7436 0.7436 1.0849
0.04095 0.7443 0.7443 0.9716
0.04105 0.7478 0.7478 1.2600
0.04115 0.7503 0.7503 1.0945
0.04125 0.7520 0.7520 1.0297
0.04135 0.7533 0.7533 0.8876
0.04145 0.7580 0.7580 0.9703
0.04154 0.7580 0.7580 0.8642
0.04164 0.7604 0.7604 1.0225
0.04174 0.7646 0.7646 0.9578
0.04184 0.7646 0.7646 1.0087
0.04194 0.7664 0.7664 0.9458
0.04204 0.7688 0.7688 1.0129
0.04214 0.7688 0.7688 1.0891
0.04224 0.7718 0.7718 0.9116
0.04234 0.7730 0.7730 0.9217
0.04244 0.7742 0.7742 0.8786
0.04254 0.7748 0.7748 1.0291
0.04264 0.7766 0.7766 0.9086
0.04274 0.7772 0.7772 0.9121
0.04284 0.7796 0.7796 0.9194
0.04294 0.7676 0.7676 0.9007
0.04304 0.7700 0.7700 0.9236
0.04313 0.7730 0.7730 0.8810
0.04323 0.7874 0.7874 1.0159
0.04333 0.7856 0.7856 0.9469
0.04343 0.7922 0.7922 1.0741
0.04353 0.7964 0.7964 1.0981
0.04363 0.7958 0.7958 1.0585
0.04373 0.7994 0.7994 1.1011
0.04383 0.8036 0.8036 1.0447
0.04393 0.8078 0.8078 1.0495
0.04403 0.8108 0.8108 1.0513
0.04413 0.8234 0.8234 1.0717
0.04423 0.8294 0.8294 1.0735
0.04433 0.8354 0.8354 1.0729
0.04443 0.6879 0.6879 0.8858
0.04453 0.7149 0.7149 0.8744
0.04463 0.7436 0.7436 1.0327
0.04472 0.7557 0.7557 0.8804
0.04482 0.7706 0.7706 0.8522
0.04492 0.8180 0.8180 0.9548
0.04502 0.7868 0.7868 1.2924
0.04512 0.7724 0.7724 1.2078
0.04522 0.8006 0.8006 1.0987
0.04532 0.8042 0.8042 1.0831
0.04542 0.8330 0.8330 1.0723
0.04552 0.7772 0.7772 1.0153
0.04562 0.7982 0.7982 0.9338
0.04572 0.7988 0.7988 0.9775
0.04582 0.7527 0.7527 0.8606
0.04592 0.7736 0.7736 0.8390
0.04602 0.8012 0.8012 0.8936
0.04612 0.8558 0.8558 1.0579
0.04622 0.8606 0.8606 1.0663
0.04632 0.8648 0.8648 1.0753
0.04641 0.8684 0.8684 1.0711
0.04651 0.7796 0.7796 1.2072
0.04661 0.6813 0.6813 1.3253
0.04671 0.6849 0.6849 1.3224
0.04681 0.7028 0.7028 1.2882
0.04691 0.7113 0.7113 1.3740
0.04701 0.7238 0.7238 1.3001
0.04711 0.7335 0.7335 1.3800
0.04721 0.7388 0.7388 1.1592
0.04731 0.7449 0.7449 1.0699
0.04741 0.7508 0.7508 1.2450
0.04751 0.7527 0.7527 1.0891
0.04761 0.7598 0.7598 1.1364
0.04771 0.7515 0.7515 1.0753
0.04781 0.7634 0.7634 1.1058
0.04791 0.7652 0.7652 0.9823
0.04800 0.7694 0.7694 0.9967
0.04810 0.7730 0.7730 0.9949
0.04820 0.7766 0.7766 0.8846
0.04830 0.7796 0.7796 0.9961
0.04840 0.7814 0.7814 0.9710
0.04850 0.7832 0.7832 1.0351
0.04860 0.7856 0.7856 1.0087
0.04870 0.7868 0.7868 1.1268
0.04880 0.7880 0.7880 1.0309
0.04890 0.7910 0.7910 1.0279
0.04900 0.7922 0.7922 1.1101
0.04910 0.7934 0.7934 1.0699
0.04920 0.7958 0.7958 1.1359
0.04930 0.7952 0.7952 1.0375
0.04940 0.7976 0.7976 1.1035
0.04950 0.7970 0.7970 1.0135
0.04959 0.7970 0.7970 1.1023
0.04969 0.7988 0.7988 1.0147
0.04979 0.7982 0.7982 1.1046
0.04989 0.8006 0.8006 1.0957
0.04999 0.8000 0.8000 1.0723
0.05009 0.8072 0.8072 1.0561
0.05019 0.8072 0.8072 1.0723
0.05029 0.8108 0.8108 1.0357
0.05039 0.8102 0.8102 1.0057
0.05049 0.8132 0.8132 1.0387
0.05059 0.8150 0.8150 1.0411
0.05069 0.8210 0.8210 1.1904
0.05079 0.8330 0.8330 1.1490
0.05089 0.8408 0.8408 1.1395
0.05099 0.8066 0.8066 1.2348
0.05109 0.7718 0.7718 1.2324
0.05119 0.7778 0.7778 1.2336
0.05128 0.8084 0.8084 1.1334
0.05138 0.7898 0.7898 0.9967
0.05148 0.7316 0.7316 0.8552
0.05158 0.7976 0.7976 0.9542
0.05168 0.8444 0.8444 1.0987
0.05178 0.7401 0.7401 0.8576
0.05188 0.7664 0.7664 0.8522
0.05198 0.7916 0.7916 0.8390
